URL,label
allposters.com/-st/Alonzo-Chappel-Posters_c23254_.htm,good
docstoc.com/docs/59191219/Herman-Information,good
broowaha.com/articles/1671/fighting-fastballs-and-racism-jesse-gonder,good
cduniverse.com/productinfo.asp?pid=7720984,good
onlineworldofwrestling.com/results/fcw/_2008/,good
192.com/atoz/people/cassidy/francis/,good
praemedia.com/praecdb01.html,good
linkedin.com/pub/douglas-hill/12/484/656,good
freebase.com/view/en/mortimer_zuckerman,good
linkedin.com/directory/people/mccusker-3.html,good
royalpresent.com.ua/js/module.imge.in.html,bad
nico.ekentros.com/,good
arroyolover.blogspot.com/2011/01/los-angeles-river-cooperation-committee.html,good
sakura-0617.livejournal.com/18624.html,good
gokartingwolverhampton.org.uk/,good
ucpress.edu/excerpt.php?isbn=9780520267398,good
scores.espn.go.com/nfl/recap?gameId=281228002,good
stationnation.blogspot.com/2010/10/postscript-juniors-2-sea-dogs-5.html,good
bookinghotworld.ws/7m35qn,bad
local.yahoo.com/MI/Lowell/Real+Estate/Mobile+Home+Parks,good
guardian.co.uk/media/2010/nov/09/warner-bros-leavesden-studios,good
nationalregisterofhistoricplaces.com/MT/Chouteau/state.html,good
transouth.org/article.php?articleID=340,good
rcfbc.org/Devotional.html,good
news.yahoo.com/brothers-sisters-star-garrett-backstrom-celebrates-16th-birthday-070426630.html,good
askmen.com/celebs/women/actress/7_ashley_judd.html,good
encycl.opentopia.com/R/RF/RFA,good
press.umich.edu/titleDetailDesc.do?id=187388,good
policemobile.biz:8080/?VzzmimkcGd=0000000000,bad
www.sugarsync.com/pf/D3353265_829_6071967654?directDownload=true,bad
threehundredeight.blogspot.com/2011/09/ndp-leadership-race-brian-topp-or.html,good
notstarring.com/actor-trivia/thiess-ursula,good
free-ebooks.net/author/ken-evoy,good
fanbase.com/Iowa-State-Cyclones-Womens-Basketball,good
ralphwaldoemerson.me/lachlan-cotter,good
wrbwtvcv.su/checkupdate,bad
en.wikipedia.org/wiki/Beautiful_Creatures_(book),good
jo4ykw2t.myutilitydomain.com/scan/9483d220231d3607a0ee7ba373401966/,bad
buycostumes.com/browse/Adult-Costumes/Fairytale-Storybook/_/N-3iZ1z141ps/results1.aspx,good
mostateparks.com/page/55154/benton-genealogy,good
iwctigers.com/f/2004_Hall_of_Fame_Inductees.php,good
hfboards.com/showthread.php?t=727071,good
bjcurio.com/js/index.htm?ref= zednsifus.battle.net/d3/en/index,bad
1888pressrelease.com/abitibi-consolidated-company-profile_3022.html,good
motorcycle.com/specs/flyscooters/scooter/2010/rio/150.html,good
allstarpics.net/pic-gallery/christy-chung-pics.htm,good
pipl.com/directory/name/Robinson/Adeline,good
loumuscarella.net/,good
stuffaboutnames.com/raymond/index.htm,good
dreadcentral.com/2001-maniacs-beverly-hellbillys,good
nosorigines.qc.ca/genealogielistfirstname.aspx?ancestor=16&Family=Cardinal_289&lng=en,good
emerycountyprogress.com/,good
acronyms.thefreedictionary.com/Ground+Truth+Model,good
english.turkcebilgi.com/King+George+V+Dock,good
enotes.com/topic/List_of_European_stadiums_by_capacity,good
vo2ov.com/Alias-Season-3-120MB-Episodes-_359120.html,good
